Record,Player,market value(million),Nation,position,club,League,Age,matches played,goals conceded,Saves,clean sheets
1,Alisson Becker,20,BRA,GK,Liverpool,eng Premier League,31,28,29,73,9
2,Alphonse Areola,9,FRA,GK,West Ham,eng Premier League,31,26,41,77,5
3,Kepa Arrizabalaga,10,ESP,GK,Bournemouth,eng Premier League,29,31,39,95,8
4,Brandon Austin,0.6,ENG,GK,Tottenham,eng Premier League,25,1,2,2,0
5,Altay Bayindir,8,TUR,GK,Manchester Utd,eng Premier League,26,4,10,8,1
6,Daniel Bentley,1.5,ENG,GK,Wolves,eng Premier League,31,2,4,8,1
7,Martin Dúbravka,1,SVK,GK,Newcastle Utd,eng Premier League,35,10,12,29,5
8,Ederson,20,BRA,GK,Manchester City,eng Premier League,30,26,26,53,10
9,Lukasz Fabianski,0.5,POL,GK,West Ham,eng Premier League,39,14,21,50,2
10,Mark Flekken,10,NED,GK,Brentford,eng Premier League,31,37,55,150,7
11,Fraser Forster,1,ENG,GK,Tottenham,eng Premier League,36,7,15,27,1
12,Dean Henderson,20,ENG,GK,Crystal Palace,eng Premier League,27,38,51,101,11
13,Mads Hermansen,15,DEN,GK,Leicester City,eng Premier League,24,27,58,99,1
14,Vitezslav Jaros,4,CZE,GK,Liverpool,eng Premier League,23,1,0,1,1
15,Sam Johnstone,6,ENG,GK,Wolves,eng Premier League,31,7,17,23,0
16,Filip Jørgensen,18,DEN,GK,Chelsea,eng Premier League,22,6,9,19,1
17,Caoimhín Kelleher,20,IRL,GK,Liverpool,eng Premier League,25,10,12,24,4
18,Tom King,0.2,WAL,GK,Wolves,eng Premier League,29,1,0,0,0
19,Antonín Kinský,15,CZE,GK,Tottenham,eng Premier League,21,6,11,23,1
20,Bernd Leno,10,GER,GK,Fulham,eng Premier League,32,38,54,106,5
21,Joe Lumley,0.5,ENG,GK,Southampton,eng Premier League,29,3,7,13,0
22,Emiliano Martínez,20,ARG,GK,Aston Villa,eng Premier League,31,37,45,96,8
23,Alex McCarthy,0.35,ENG,GK,Southampton,eng Premier League,34,5,13,24,0
24,Arijanet Muric,5,KVX,GK,Ipswich Town,eng Premier League,25,18,33,67,1
25,Neto,1.5,BRA,GK,Bournemouth,eng Premier League,35,2,2,11,0
26,Robin Olsen,1.5,SWE,GK,Aston Villa,eng Premier League,34,4,6,8,1
27,André Onana,25,CMR,GK,Manchester Utd,eng Premier League,28,34,44,88,9
28,Stefan Ortega,8,GER,GK,Manchester City,eng Premier League,31,13,18,33,3
29,Alex Palmer,1,ENG,GK,Ipswich Town,eng Premier League,27,13,30,43,0
30,Jordan Pickford,18,ENG,GK,Everton,eng Premier League,30,38,44,117,12
31,Nick Pope,8,ENG,GK,Newcastle Utd,eng Premier League,32,28,35,86,8
32,Hákon Rafn Valdimarsson,2.5,ISL,GK,Brentford,eng Premier League,22,2,2,3,1
33,Aaron Ramsdale,16,ENG,GK,Southampton,eng Premier League,26,30,66,120,3
34,David Raya,40,ESP,GK,Arsenal,eng Premier League,28,38,34,86,13
35,José Sá,7,POR,GK,Wolves,eng Premier League,31,29,48,69,7
36,Robert Sánchez,20,ESP,GK,Chelsea,eng Premier League,26,32,34,92,10
37,Matz Sels,7,BEL,GK,Nottingham Forest,eng Premier League,32,38,46,119,13
38,Jason Steele,1.5,ENG,GK,Brighton,eng Premier League,33,2,1,3,1
39,Jakub Stolarczyk,1,POL,GK,Leicester City,eng Premier League,23,10,16,28,2
40,Mark Travers,4,IRL,GK,Bournemouth,eng Premier League,25,5,5,20,1
41,Bart Verbruggen,30,NED,GK,Brighton,eng Premier League,21,36,58,87,7
42,Guglielmo Vicario,32,ITA,GK,Tottenham,eng Premier League,27,24,37,67,4
43,Christian Walton,1,ENG,GK,Ipswich Town,eng Premier League,28,7,19,20,1
44,Danny Ward,1.2,WAL,GK,Leicester City,eng Premier League,31,2,6,4,0
